Date,Player,Sport,Duration,Distance,Speed,Calories,Goals,Assists,Stamina,Notes
2025-11-09,hdvd,Running,77.0,88.0,88.0,88.0,,,,jdsd
2025-11-09,hhh,Running,88.0,99.0,99.0,8.0,,,,
2025-11-09,jj,Running,88.0,99.0,99.0,99.0,,,,
2025-11-09,kk,Swimming,88.0,99.0,8.0,77.0,,,,
2025-11-09,kk,Football,88.0,99.0,77.0,0.0,8.0,9.0,5.0,
2025-11-09,hvdb,Running,77.0,88.0,88.0,99.0,,,,
2025-11-09,uu,Swimming,88.0,99.0,99.0,99.0,,,,hhgfd
2025-11-09,hhgjhhf,Football,88.0,99.0,77.0,88.0,99.0,88.0,6.0,
2025-11-10,hdvd,Running,77.0,99.0,88.0,99.0,,,,
2025-11-09,hdvd,Running,99.0,77.0,99.0,99.0,,,,
2025-11-09,hvdb,Swimming,88.0,99.0,99.0,77.0,,,,
2025-11-09,jj,Football,99.0,99.0,9999.0,0.0,88.0,99.0,6.0,
2025-11-09,jjj,Swimming,888.0,88.0,77.0,66.0,,,,
2025-11-09,gg,Running,88.0,88.0,44.0,34.0,,,,
2025-11-09,oo,Swimming,66.0,55.0,44.0,44.0,,,,
2025-11-09,yu,Swimming,88.0,99.0,98.0,66.0,,,,
2025-11-09,ff,Swimming,88.0,99.0,55.0,6.0,,,,
2025-11-09,rr,Running,77.0,66.0,44.0,44.0,,,,
2025-11-09,ed,Running,67.0,89.0,32.0,23.0,,,,
2025-11-09,Arif,Football,12.0,12.0,100.0,68.0,33.0,1.0,5.0,he is a goo dplayer
2025-11-09,__Test_Swimmer__,Swimming,30.0,2.0,4.0,200.0,,,,test add
2025-11-09,__UI_TEST_SWIM__,Swimming,20.0,1.0,3.0,50.0,,,,ui test
2025-11-09,shahin,Football,11.0,111.0,11111.0,0.0,0.0,0.0,0.0,
2025-11-09,tt,Running,77.0,88.0,54.0,56.0,,,,
2025-11-09,yy,Running,99.0,77.0,88.0,99.0,,,,
2025-11-09,55,Running,55.0,66.0,77.0,88.0,,,,
2025-11-09,tgtgt,Running,55.0,66.0,77.0,77.0,,,,
2025-11-09,66,Running,55.0,44.0,45.0,0.0,,,,
2025-11-09,pppp,Running,55.0,66.0,33.0,33.0,,,,
2025-11-09,oop,Running,44.0,33.0,22.0,33.0,,,,
2025-11-07,oop,Running,77.0,66.0,77.0,88.0,,,,
2025-11-09,trt,Running,66.0,88.0,99.0,77.0,,,,
2025-11-09,xyz,Running,10.0,100.0,4.0,0.0,,,,
